Star Rating,Review Text
5,
1,
5,
5,
3,
3,App now working after the update.. thanks for the quick response.. i dropped a msg on your fb page about the uncredited load.. thanks
5,
5,Edited my review because i got additional data. I guess i just received it late
5,
5,
2,
5,
5,
3,There's no promo for unli call and text
5,Awesome
5,Very good
5,
4,Good!
5,
5,It's beautiful
5,Add points to earn data surfing
5,I love this app you can see your load balance and i only have $0.50 cens XD but i love this app its AMAZING!
4,
4,
5,Awesome
5,
5,
5,Satisfied
4,
5,Its is very useful for me bcouz i can easy buy the promos that i want and check my data usage and balance that i have...thnx for app
5,
5,
5,
4,The apps great and very easy to use. Everything you need to do is but a tap on the buttons. Just hope the Double Data promos comes earlier within the 24 Hour mark.
5,
5,Sana lahat ng promo meron d2 sa apps tulad ng allday20
5,Very usefull even if your sim is in your wifi you can still use it
5,
5,I love this app
5,
5,
5,
5,
5,
5,
4,
5,Very nice and beautiful
4,
4,nice app
5,This is the nice app for everyone
5,
5,
5,
2,
5,Awesome app
3,
5,
1,Needs improvement on UI indicator should be properly seen to avoid double tap. Lacks of partnership for payment.
5,Very nice
1,I top-up today for the promo double data(until aug 2) seems like it didn't applied properly for me.
5,
5,
5,
5,
5,Nice App
5,I like this app.
1,
1,bad app.
5,
4,
5,Nice
5,Owesome
2,"The app loads slowly compared to Gcash Paymaya, etc. There is a bug in the code, STRING cannot be found."
3,the apps work in my asus phone but the touch is slow to response. also the data status didnt say if this is total consumed or balance available
1,Can't be use
5,
5,love it
5,
5,
5,
5,
4,
4,"this app is great good job smart app dev. i hope you can have a farm of smart prepaid numbers, the process now is you to key in the otp once you put in another smart number. i mean you'll just have 1 main number and the rest of the prepaid can be monitored without re-encoding the 4 digit numbers. overall you'll get a big 5 if this happen. :) keep it up"
3,I find it cumbersome that I need to check my expiration dates and data balance through *123# after initially downloading the app. I hope the update fixed this. I may guve it a higher rating afterwards.
5,
5,
5,I try this
5,Simple and pass Registered and buy a load
2,"I am a smartload retailer, masyado paring mahal ang load ni smart while globe can give us 5GB open access for only 50 pesos and 8GB open access for 90 pesos."
1,Takes too long to load. My internet is fine. everything loads fast except this app.
4,its easy to use but im hoping that sooner it also gave its customers points to redeem everytime we do top up on network. for now 4 stars not bad
4,
1,"My signal very very very millionz verry weak,sooorrry thats true..ill tell my friend not to use n buy tnt and smart,shameful...weee"
4,
4,
5,
5,
4,
1,
3,
3,
5,I like it
4,
5,Very great app!
4,Nice app
4,
5,"I think you should need to consider without turning on the mobile data. I'm afraid to register because if I turn on my data connection, it might use my load balance."
5,Thank
1,Useless app .. it updates time after time until you can't use it anymore .. tss ..
5,Almost 8yrs smart user here. I recommend adding smart reward point system just like other.......
5,
5,Awsome smart...i love it soooo much!!!😄
5,
5,🤗
5,Excellent 😊
5,I like this app.i use it everyday.
1,Loading and loading..
5,Ok
5,
3,
3,nice app for smart
5,
5,Good
4,
5,
1,Ang bagal. Wala naman masyadong info.
5,Amazing
4,
3,"Fast tracking of data usage, but sometimes LAG in games"
5,
5,
5,
2,sobrang hassle ng app i have to type my number each time i click on the app?
4,
5,
5,
5,
2,Please fix some errors with your smart app.
5,
5,okay
3,
5,
5,
5,
5,
5,
5,
5,can you give me the name of woman in background wallpaper? for my research paper studies.
5,I like it
5,
5,
5,
3,
5,Love it
4,Sometimes it can't automatically scanned my own number. I needed to type it. Err
5,See
1,
5,Ok
4,Allright👌👌👌
5,Keep improving Smart network.
5,
5,"Great app,,,in a simple way of getting to know you're balance, it's easy to used than *123#"
4,Okay
4,
5,
5,5 stars to the best app para makita mo yung data usage no need to dial *123#. Ewan ko sa iba na daming kaartehan wala namang problema sa app e hahahah peace ✌️
5,
5,No comment
5,Nice Well precuse it's purpose
5,its good to use smart telecom
5,very nice
5,
5,Nice smart apps very excellent
1,
5,
5,
5,Better
4,
5,Very convenient and easy to access. Highly recommended.
5,
1,
5,
5,
5,
4,
5,
5,
5,Ok nman mbilis process
3,Not so very sure yet.
5,
5,almost anything is possible
5,5 stars because it was so great i really really like it 😍❤
3,Excelent
5,Good
5,Excellent
4,"So very nice smart app,no need regesterd na about digit..its great all favorite here."
5,
5,Great service
4,
4,"The app is great! And it's so much easier to check your balance, load up, etc. I hope this app works without load. Thank you!"
4,
5,Ok
5,Ok
5,
5,Nice
5,
5,
4,Nice app... May i request na khit wlang data mgmit ang smart app..
5,
3,"I hope the app can store several numbers, instead of checking one by one or needing a OTP. The old Smart app has that feature where the numbers are already stored there. I use the old Smart app to monitor the load balance of all my family members, so I can reload their phone numbers when they are running out of load. I suggest you bring back this feature."
5,
4,Amazing
5,
5,Thanks it's beautiful
5,
4,Pls consider having a promo for live streaming on different platforms
5,
4,
5,
5,
5,
5,B-)
5,
5,
3,
1,Its a good apps easy access and easy to use .. but when the apps been downloaded the promise of doble data is a lie and its a scam you will not receive any of those.. What a shame. Using a market strategy to come and download this apps ..
5,Good
4,
5,Ok
5,
5,
5,
5,
5,
4,
5,
3,
5,Satisfied
5,
5,
5,
4,
5,Faster internet for mobile legends .
5,Ok
5,
5,
5,It's good a good update thank you for the new promos. Like it.
5,
5,
5,
5,
5,
5,
1,They have a promo from July 31-Aug 2 it says if you register through the app you will get double the promo. Well i tried it earlier i was pressing the buy gigavideo button and the app freezes. This is the only app that freezes in my phone. Why does your 8mb app freeze on a 3gb ram phone? 1/5
3,
1,
5,Nice
5,
4,"Great app, easy and faster"
5,
5,Mahusay
1,"pangit ng app ninyu,, lagi nanghihingi ng OTP pag mag open ng number, para ma view ang remaining data,, buti pa kay G di na nanghihingi, kahit di ako naka connect sa prepaid wifi."
1,"napakapangit na apps, lage nalang hihingi ng OTP,, Buti pa sa iba network, na viview remaining balance sa data, 1 time setup lang"
5,
1,
4,
4,
5,
5,tangina malupit
5,
5,
5,
3,
5,
5,5STAR RATE KO MAS MABILIS MAKITA BALANCE SAKA EASY REGISTER PERO PAKYU KA PAREN BAGAL PARIN SIGNAL MO YUN LANG : )
4,
2,
5,Its fast to access.
5,
4,
1,When i download the app at first it was great because it was easy the it just keep eating my Load and it was quiet disappointing
5,wow im happy for app smart
3,
5,
3,
5,it wast perpect
5,
5,👌
1,"A slow and laggy app, can't buy load if no data available, catch 22. Double data promos yet to be honored, seems like a scam, received sms confirming double data promo applied, but not shown in app!!"
5,
5,
3,
5,
